TABLE 1: PREPAREDNESS ITEM INVENTORY DATABASE,,,,,,,,,,,,,
Category,Subcategory,Checklist Item,Description,Purpose,Target Readiness Level,Priority,Recommended Qty,Skill Req?,Difficulty,Est. Cost Range,Storage Considerations,Maintenance Requirements,Emergency Scenarios
Medical Preparedness,Austere Med,90-Day Rx & OTC Backup,"Backup of daily prescriptions, antibiotics, ibuprofen, loperamide.","Treat infections, pain, and illness without doctors/pharmacies.",3-month,Critical,90-day supply,No,Beginner,Varies,"Store in cool, dry place. Heat degrades efficacy quickly.",Rotate medications to prevent expiration.,"Pandemic, Supply Chain Collapse"
Shelter and Housing,Hardening,Blackout / Thermal Curtains,Heavy insulating curtains and custom-cut Reflectix panels.,"Retain heat in winter, block heat in summer, and mask light from outside.",2-week,Important,Cover all windows,No,Beginner,$50 - $200,Roll up when not in use.,None.,"Winter Blackout, Civil Unrest"
Energy and Power,Illumination,High-Lumen Headlamps,Hands-free LED lighting with red-light capability.,Navigate and perform tasks (medical/cooking) safely in the dark.,72-hour,Critical,1 per person,No,Beginner,$30 - $60,Remove batteries if storing long-term to prevent acid leaks.,Check batteries monthly.,Power Outage
Energy and Power,Generation,LiFePO4 Solar Generator,"Portable power station with solar panels (e.g., EcoFlow, Jackery).","Recharge comms, run medical devices (CPAP), and power freezers.",2-week,Critical,1-2 kWh capacity,Yes,Intermediate,$500 - $1500,Store indoors at room temperature.,"""Top-Off"" charge to 100% monthly.","Grid Down, Rolling Blackouts"
Communication,Intel Gathering,NOAA Emergency Radio,Hand-crank/solar/battery radio with SAME technology.,Receive verified government weather alerts and OSINT.,72-hour,Critical,1 per household,No,Beginner,$30 - $50,Keep near sleeping area with fresh batteries.,Test during weekly NOAA broadcasts.,"Hurricanes, Tornadoes, EMP"
Communication,Tactical,FRS/GMRS Radios,Handheld walkie-talkies for local line-of-sight comms.,Coordinate neighborhood watch and family movements without cell service.,2-week,Important,2 - 6 units,Yes,Beginner,$60 - $150,Store with radios off; keep spare AA/AAA batteries.,Cycle/charge batteries monthly.,"Civil Unrest, Natural Disasters"
Navigation,Analog,Local Topographical Maps,"Waterproof maps of county, state, and evacuation routes.",Navigate when GPS/Google Maps are offline.,72-hour,Critical,2 sets,Yes,Intermediate,$20,Keep in waterproof map sleeve in Go-Bag and vehicle.,Update if major infrastructure changes.,"Evacuation, EMP"
Tools and Repair,Manual Tools,Heavy-Duty Multitool,"Leatherman or Gerber tool with pliers, knife, saw, wire cutters.","Expedient repairs on gear, vehicles, and home.",72-hour,Critical,1 per adult,Yes,Beginner,$80 - $150,Oil hinges lightly to prevent rust.,Clean and sharpen blade quarterly.,All Scenarios
Security and Defense,Perimeter,Heavy-Duty Strike Plates,3-inch or 4-inch screws replacing standard 1/2-inch door screws.,Prevent home invasion via kick-ins (CPTED strategy).,1-year,Critical,All exterior doors,Yes,Beginner,$20,"Install directly into wall stud, not just the door frame.",Inspect hinges annually.,"Civil Unrest, Looting"
Hygiene and Sanitation,Waste,Off-Grid Toilet Kit,"5-gallon bucket, toilet seat lid, contractor bags, sawdust/peat moss.",Prevent dysentery and cholera when municipal plumbing fails.,2-week,Critical,1 kit per bathroom,No,Beginner,$40,Store bags/sawdust in a dry place.,Replace bags and sanitize bucket after use.,"Grid Failure, Flooding"
Transportation,Redundancy,Vehicle Emergency Kit,"Jumper cables, tire plug kit, 12V inflator, flares, folding shovel.",Self-rescue if stranded during an evacuation.,72-hour,Critical,1 kit per vehicle,Yes,Intermediate,$100 - $200,Secure in trunk.,Check inflator and tire plugs bi-annually.,"Evacuation, Winter Storms"
Bug Out Planning,Mobility,72-Hour Go-Bag,Ergonomic backpack loaded with baseline survival hardware.,Immediate strategic relocation if the home is compromised.,72-hour,Critical,1 per person,Yes,Intermediate,$150 - $400,Keep light (under 20% body weight). Store near exit.,Rotate food/water/meds bi-annually.,"House Fire, Wildfire, Chemical Spill"
Community Preparedness,Network,Charity Stockpile,"Separate bins of cheap bulk rice, water, and baby formula.",Safely provide triage aid to neighbors without starving your own family.,3-month,Important,10% of total preps,No,Beginner,$100+,Clearly label to prevent family from eating it by accident.,Rotate along with deep pantry.,Post-Disaster Recovery
Long-Term Resilience,Agriculture,Heirloom Seeds & Tools,"Non-GMO seeds, manual tiller, composting bins.",Transition from consumer to producer if supply chains permanently fail.,1-year,Optional,1 seed vault,Yes,Advanced,$100 - $300,"Store seeds in a cool, dark, dry place (freezer/fridge ideal).",Check seed viability every 2-3 years.,"Black-Swan Event, Economic Collapse"
